colors
"[""respite"", ""french colony"", ""precious dewdrop"", ""copper penny"", ""artistic license"", ""wool skein"", ""merry pink"", ""cheery"", ""drenched sienna"", ""spring dust"", ""zanah"", ""peppery"", ""spring stream"", ""tower bridge"", ""regatta"", ""bistre brown"", ""bali bliss"", ""dreamy cloud"", ""deep mulberry"", ""lovebirds""]"
"[""clary sage"", ""silver service"", ""neon"", ""lilac pink"", ""jewel"", ""reid brown"", ""freesia"", ""dolphin gray"", ""rookwood brown"", ""southern comfort"", ""carnation pink"", ""joie de vivre"", ""meringue"", ""heather pink"", ""umbria red"", ""light cyan"", ""energy yellow"", ""bluebelle"", ""pale orange"", ""pale sky blue""]"
"[""fiddlehead green"", ""china white"", ""sedona pink"", ""eucalyptus"", ""salute"", ""university of tennessee orange"", ""chili pepper"", ""shagreen"", ""vintage claret"", ""rodeo red"", ""carolina plum"", ""umber"", ""hot chili"", ""verde pastel"", ""light pewter"", ""jazzy jade"", ""frosted toffee"", ""stil de grain yellow"", ""pigeon gray"", ""enlightened lime""]"
"[""clockworks"", ""jasper cane"", ""clearlake"", ""golden poppy"", ""adventure orange"", ""grape green"", ""coral gables"", ""coyote trail"", ""tucson teal"", ""macadamia"", ""washington blue"", ""yellow oxide"", ""army green"", ""smoked salmon"", ""floral white"", ""dark forest green"", ""montana"", ""pussywillow"", ""orchid kiss"", ""pale carmine""]"
"[""living stream"", ""deep orange"", ""mayan treasure"", ""soft chinchilla"", ""tuscan herbs"", ""royal fuchsia"", ""orchid rose"", ""light blue green"", ""jaffa"", ""purply"", ""ce soir"", ""vivid auburn"", ""sierra redwood"", ""ranch tan"", ""fair ivory"", ""thunderous"", ""tsunami"", ""carrot orange"", ""cove grey"", ""greyish purple""]"
"[""island getaway"", ""ponderosa pine"", ""fatigue green"", ""sunny summer"", ""empress"", ""periwinkle blossom"", ""mission tile"", ""nutty brown"", ""black olive"", ""fun green"", ""medium blue"", ""eagle rock"", ""cardin green"", ""bracken cream"", ""medium grey"", ""cafe pink"", ""persian red"", ""honorable blue"", ""sand castle"", ""breathless""]"
"[""te papa green"", ""early sunset"", ""fiery brown"", ""brown horse"", ""veronica"", ""glitter"", ""garden greenery"", ""afterglow"", ""ocean pearl"", ""sahara sun"", ""rumba orange"", ""hot apple spice"", ""deep carrot orange"", ""flower power"", ""ocean tropic"", ""lodge"", ""mountain peak white"", ""confident white"", ""etude lilac"", ""hillside green""]"
"[""mineral springs"", ""amaranth pink"", ""deep forest"", ""gypsy love"", ""puddle"", ""pewter vase"", ""terra bella"", ""millstone gray"", ""sabre gray"", ""sorrel brown"", ""courtly purple"", ""brandeis blue"", ""morning dew"", ""ruby red"", ""mild mint"", ""ivy lane"", ""secret meadow"", ""aqua blue"", ""red prairie"", ""fresh croissant""]"
"[""yosemite blue"", ""hopsack"", ""frosty pink"", ""blue click"", ""frangipane"", ""chocolate soul"", ""foggy morn"", ""beach wind"", ""perfect tan"", ""nightfall sky"", ""popped corn"", ""china blue"", ""billowy down"", ""riviera azure"", ""amber wave"", ""aztec gold"", ""regal blue"", ""cottage walk"", ""mellow yellow"", ""dark beige""]"
"[""adobe beige"", ""california redwood"", ""early morning"", ""firenze"", ""wine dregs"", ""evergreen field"", ""wave crest"", ""columbia blue"", ""bubble shell"", ""ugly purple"", ""cyber yellow"", ""vanilla mocha"", ""selective yellow"", ""san antonio sage"", ""tupelo tree"", ""rugged brown"", ""tavern taupe"", ""buckwheat flour"", ""rich carmine"", ""cement""]"
"[""duck egg blue"", ""athens grey"", ""gilded ballroom"", ""liberty park"", ""navel"", ""passion pink"", ""croquet blue"", ""first rain"", ""medieval times"", ""purpley"", ""north sea green"", ""feather gold"", ""yellow topaz"", ""heath"", ""capri"", ""patriot red"", ""maximum yellow red"", ""princeton gold"", ""pale slate"", ""bright green""]"
"[""indigo dye"", ""beautiful in my eyes"", ""rose dust"", ""scented valentine"", ""tuscany green"", ""nuance"", ""myrtle beach"", ""light mint green"", ""vintage mauve"", ""strawberry yogurt"", ""windy blue"", ""off yellow"", ""alligator green"", ""blue zodiac"", ""stonebriar"", ""coral confection"", ""ceramic glaze"", ""classic waltz"", ""skipping stone"", ""steamed spinach""]"
"[""cranberry splash"", ""empress teal"", ""coral cloud"", ""barnwood gray"", ""leather bound"", ""bavarian forest"", ""bassett hall green"", ""celestial blue"", ""swing brown"", ""perfect greige"", ""gray timber wolf"", ""rocky mountain sky"", ""permafrost"", ""romantic pink"", ""white rain"", ""baby chick"", ""rosemary sprig"", ""warm apple crisp"", ""cactus flower"", ""river bed""]"
"[""pizza"", ""downriver"", ""wild blue yonder"", ""fire dance"", ""pink hibiscus"", ""cape palliser"", ""bronzetone"", ""limed gum"", ""poop"", ""reynard"", ""pale cherry blossom"", ""red velvet"", ""rain drop"", ""ceylon cream"", ""sweet mandarin"", ""pumpkin toast"", ""glass slipper"", ""seaweed green"", ""mustang"", ""fire mist""]"
"[""wandering heart"", ""castleton green"", ""dry brown"", ""simple pleasures"", ""intense white"", ""nob hill sage"", ""crystal falls"", ""mexicana"", ""peace and happiness"", ""rookwood blue green"", ""sunrays"", ""new day"", ""hot cocoa"", ""green myth"", ""explorer khaki"", ""auburn glaze"", ""dark sage"", ""slate teal"", ""pilgrimage foliage"", ""calming aloe""]"
"[""at sea"", ""old stone"", ""debian red"", ""passion plum"", ""haven"", ""pink peony"", ""yellow iris"", ""lemon pepper"", ""scorpion"", ""orangey red"", ""alter ego"", ""hazelwood"", ""delphinium"", ""whispering oaks"", ""vero beach tan"", ""coral expression"", ""orange glow"", ""bold brick"", ""highland thistle"", ""narvik""]"
"[""roasted nuts"", ""sizzling sunrise"", ""swiss brown"", ""regatta bay"", ""suede beige"", ""wine"", ""mink violet"", ""winsome rose"", ""dark grey blue"", ""seminole brown"", ""monarch orange"", ""salt cellar"", ""light orchid"", ""smalt blue"", ""ocean beach"", ""sesame"", ""ocean front"", ""svelte sage"", ""tea light"", ""mode beige""]"
"[""rich cream"", ""dusty miller"", ""evening storm"", ""powdered gold"", ""rojo torero"", ""light teal"", ""blue plate"", ""velvet plum"", ""crystal waters"", ""copper clay"", ""audubon russet"", ""pink lace"", ""aloof gray"", ""charm pink"", ""iron ore"", ""monticello rose"", ""holiday road"", ""squirrel tail"", ""bear rug"", ""windwood spring""]"
"[""niveous"", ""postmodern mauve"", ""such melodrama"", ""rosemary"", ""pinecone path"", ""dignified"", ""dignity blue"", ""asian pear"", ""jet white"", ""mojo"", ""tower tan"", ""dark aquamarine"", ""wafer"", ""kansas grain"", ""cupid"", ""dark burgundy"", ""medium tuscan red"", ""calypso"", ""liquid blue"", ""golden haystack""]"
"[""pink damask"", ""seaside blue"", ""milestone"", ""blue hydrangea"", ""drama queen"", ""fuscous grey"", ""golden meadow"", ""edgy gold"", ""rusty gate"", ""geddy verdigris"", ""vanilla"", ""black satin"", ""ancient stone"", ""curious collection"", ""han purple"", ""cherry red"", ""mariner"", ""joshua tree"", ""gotham gray"", ""pink essence""]"
"[""old montreal"", ""lipstick"", ""bahaman sea blue"", ""periglacial blue"", ""radiant rose"", ""waterfall mist"", ""oarsman blue"", ""hawthorne yellow"", ""dark hot pink"", ""madison"", ""moon mist"", ""mosaic blue"", ""summer citrus"", ""garden twilight"", ""topsail"", ""splish splash"", ""arctic shadow"", ""smoky trout"", ""fortune cookie"", ""double fudge""]"
"[""gale force"", ""off green"", ""serape"", ""adriatic sea"", ""netsuke"", ""aphrodite pink"", ""raspberry glaze"", ""reserved white"", ""root beer candy"", ""naturalism"", ""modern history"", ""sunkissed apricot"", ""fire island"", ""medium sea green"", ""really teal"", ""orange blossom"", ""rio grande"", ""woven basket"", ""sequoia dusk"", ""robin egg blue""]"
"[""sand dance"", ""woodland sage"", ""juniper breeze"", ""nile river"", ""peach blossom"", ""chrome yellow"", ""halifax cream"", ""weathered shingle"", ""flowerpot"", ""nonchalant white"", ""little black dress"", ""ruby dusk"", ""timothy straw"", ""plum perfect"", ""pale taupe"", ""mata hari"", ""cg red"", ""etiquette"", ""southern vine"", ""vintage grape""]"
"[""quiet moment"", ""greenish"", ""springtime"", ""verde hierba"", ""venetian red"", ""pinkish purple"", ""rhododendron"", ""dark chocolate"", ""gravel"", ""desert clay"", ""smashing pink"", ""bridgewater tan"", ""washed olive"", ""dutchess dawn"", ""cavan"", ""blush tone"", ""sabor a nuez"", ""chinese yellow"", ""beauty queen"", ""tanzanite""]"
"[""spa blue"", ""lilac intuition"", ""pink petals"", ""dull pink"", ""sweet carrot"", ""light year"", ""rose blush"", ""delray gray"", ""impatient pink"", ""lightish red"", ""elk horn"", ""soft white"", ""folk tale"", ""honey tone"", ""misty teal"", ""almost famous"", ""wood ash"", ""refreshing pool"", ""coastal plain"", ""confection""]"
"[""chenille spread"", ""violet vixen"", ""pinky red"", ""roof terracotta"", ""downpour blue"", ""tantalizing tan"", ""lemon sorbet"", ""blue tequila"", ""peaceful night"", ""toffee crunch"", ""evergreen bough"", ""alyssum"", ""tropical paradise"", ""tropical teal"", ""rejuvenate"", ""almeja"", ""covington blue"", ""aristocrat peach"", ""cocoa shell"", ""pipi""]"
"[""springfield sage"", ""cyclamen"", ""confederate"", ""spanish green"", ""software"", ""aqua gray"", ""hoki"", ""romantic moment"", ""pumpkin seed"", ""mirador"", ""plantation brown"", ""nocturnal sea"", ""eggshell"", ""pale spring bud"", ""sonoma skies"", ""sconce gold"", ""trendy green"", ""blueberry popover"", ""malton"", ""chenin""]"
"[""cape hatteras sand"", ""approaching storm"", ""terra brun"", ""lightish blue"", ""ravishing coral"", ""gordons green"", ""adobe orange"", ""heirloom orchid"", ""cinnamon candle"", ""italian olive"", ""bagel"", ""light seafoam"", ""tooty fruity"", ""song bird"", ""candy violet"", ""verde amazonas"", ""pinky"", ""chocolate sprinkle"", ""chilled lemonade"", ""southern evening""]"
"[""bandicoot"", ""phelps black"", ""pale pink satin"", ""baby puke green"", ""sazerac"", ""dynamo"", ""china red"", ""bon voyage"", ""candle light"", ""forest berry"", ""whimsical white"", ""roman column"", ""overt green"", ""lost canyon"", ""elephant tail"", ""april winds"", ""cloud burst"", ""vivid violet"", ""sunflower"", ""half baked""]"
"[""rock"", ""bubblegum"", ""violent violet"", ""flower wood"", ""petro blue"", ""barossa"", ""fresh clay"", ""sun yellow"", ""pearl onion"", ""huntington beige"", ""plum smoke"", ""center earth"", ""monsoon"", ""spring iris"", ""blue spell"", ""grape lavender"", ""chutney brown"", ""sea foam"", ""pink pebble"", ""feather plume""]"
"[""palladian blue"", ""yacht blue"", ""enchanted wells"", ""jungle khaki"", ""solarium"", ""vast sky"", ""champagne pink"", ""hawaiian shell"", ""wild thing"", ""appalachian trail"", ""aqua spring"", ""periwinkle bud"", ""pacific mist"", ""janna"", ""northern star"", ""navy masterpiece"", ""kensington blue"", ""gray"", ""rock star pink"", ""light indigo""]"
"[""old pink"", ""douglas fir"", ""zydeco"", ""vivid amber"", ""coliseum marble"", ""fish pond"", ""rabbit brown"", ""philippine pink"", ""dark oak"", ""bright maroon"", ""riptide"", ""otter brown"", ""intimate white"", ""minced onion"", ""fiery rose"", ""indian river"", ""toasted mauve"", ""rose silk"", ""everyday white"", ""ivory stone""]"
"[""green shimmer"", ""grey blue"", ""deep breath"", ""sugar plum"", ""high plateau"", ""island palm"", ""sand dollar"", ""echelon ecru"", ""gold rush"", ""fenwick white"", ""ground cumin"", ""sea mist green"", ""ocean view"", ""speedboat"", ""natural sand"", ""williamsburg stone"", ""silver dust"", ""terrace brown"", ""vista white"", ""lotus""]"
"[""spring reflection"", ""key pearl"", ""granite"", ""dark sand"", ""copper mountain"", ""aurora splendor"", ""wheat sheaf"", ""wild watermelon"", ""swan sea"", ""henna shade"", ""silver bells"", ""gold coast"", ""livingstone"", ""sheraton beige"", ""porch song"", ""great green"", ""soft marigold"", ""mesclun green"", ""rosy copper"", ""something blue""]"
"[""hacienda"", ""deep rose"", ""turquoise haze"", ""blazing autumn"", ""monterey white"", ""united nations blue"", ""heliotrope"", ""midnight dream"", ""winter white"", ""cool mint"", ""polished slate"", ""offbeat green"", ""bahama green"", ""tropical rain forest"", ""cucumber crush"", ""after the rain"", ""cloudy day"", ""chocolate truffle"", ""orchard plum"", ""grenadier""]"
"[""synergy"", ""hollywood gold"", ""mineral ice"", ""all dressed up"", ""lemon glacier"", ""reddish purple"", ""sedona brown"", ""roycroft mist gray"", ""ocean"", ""luxe lilac"", ""lemon drop"", ""chanticleer"", ""northern glen"", ""powder pink"", ""aruba blue"", ""polar white"", ""raspberry blush"", ""vivid mulberry"", ""silver gray"", ""string cheese""]"
"[""bunchberry"", ""desert khaki"", ""ruby"", ""mopboard black"", ""pelorous"", ""violet bouquet"", ""medium carmine"", ""livid"", ""bricktone red"", ""american rose"", ""sea"", ""craft juggler"", ""winter fresh"", ""hudson bay"", ""light salmon"", ""portico"", ""winding vines"", ""canyon cliffs"", ""symphony gold"", ""bryant gold""]"
"[""cassia buds"", ""quicksilver"", ""dune"", ""sky blue"", ""coral bronze"", ""guacamole"", ""butterscotch"", ""asparagus"", ""highland"", ""himalaya"", ""barrel brown"", ""martini"", ""dressed to impress"", ""tuscan tan"", ""negroni"", ""teak"", ""lily of the valley"", ""tibetan temple"", ""serengeti dust"", ""stealth jet""]"
"[""starless night"", ""grey green"", ""archaeological site"", ""pesto green"", ""mauve blush"", ""pineapple soda"", ""bright cerulean"", ""gorse"", ""oyster bar"", ""cloudy gray"", ""waikawa grey"", ""gothic amethyst"", ""night tide"", ""your majesty"", ""gracious rose"", ""weathered fossil"", ""lemon twist"", ""midnight oil"", ""on the rocks"", ""silk ribbon""]"
"[""yellow lotus"", ""bonnie cream"", ""hidden sea glass"", ""carolina parakeet"", ""celtic green"", ""purple plum"", ""norway spruce"", ""brainstorm bronze"", ""camelback"", ""go go lime"", ""evening white"", ""creamy freesia"", ""ziggurat"", ""ole pink"", ""wild willow"", ""teal deer"", ""rose lace"", ""wythe gold"", ""jack pine"", ""centaur""]"
"[""aquarium"", ""metallic bronze"", ""pale plum"", ""sharon rose"", ""montgomery white"", ""sunny gazebo"", ""may green"", ""middle red"", ""clear day"", ""starfruit"", ""unbleached silk"", ""boston fern"", ""purpley blue"", ""jon"", ""graceful sea"", ""shiitake mushroom"", ""kernel"", ""lavender ice"", ""frosted jade"", ""blue seafoam""]"
"[""iced tea"", ""wilderness cabin"", ""outrageous green"", ""sunken pool"", ""creekbed"", ""orange brown"", ""majestic orchid"", ""harbour"", ""purple statice"", ""love story"", ""suede brown"", ""deep carmine pink"", ""paris green"", ""startling orange"", ""medium green"", ""euphoric magenta"", ""elephant gray"", ""mood indigo"", ""meditation"", ""red pepper""]"
"[""white drifts"", ""citronne"", ""thatch"", ""maple valley"", ""midsummer night"", ""hostaleaf"", ""french white"", ""buttercup"", ""incredible white"", ""fresh herbs"", ""crystalline falls"", ""rich electric blue"", ""ruskin room green"", ""peony blush"", ""butte rock"", ""cherub"", ""summit gray"", ""orange juice"", ""white winged dove"", ""refuge""]"
"[""carmel woods"", ""sleeping angel"", ""origami white"", ""hickory grove"", ""citrus blossom"", ""hathaway peach"", ""inlet harbor"", ""ice sculpture"", ""dover white"", ""champlain blue"", ""roycroft rose"", ""fresh peaches"", ""cosmic dust"", ""brass button"", ""sturdy brown"", ""pale cornflower"", ""sun ray"", ""herbal scent"", ""phthalo blue"", ""going to the chapel""]"
"[""bubbles"", ""rocky river"", ""classical gold"", ""mauve it"", ""onahau"", ""stucco"", ""yorkshire brown"", ""seed brown"", ""very dark purple"", ""napa winery"", ""ravishing red"", ""litchfield gray"", ""lilianna"", ""ball blue"", ""fern grove"", ""nasturtium"", ""fairway mist"", ""old silver"", ""tin foil"", ""classic bronze""]"
"[""chocolate therapy"", ""electric lavender"", ""nutshell"", ""algae"", ""cacao"", ""award night"", ""reef blue"", ""gray ashlar"", ""persian violet"", ""florentine clay"", ""spellbound"", ""tiffany blue"", ""sage green light"", ""blond wood"", ""copper rust"", ""treehouse"", ""exotic flowers"", ""pillar white"", ""cabbage green"", ""frosted lemon""]"
"[""joyful orange"", ""sleek white"", ""marina gray"", ""pavillion"", ""sandy beach"", ""wales gray"", ""valley of glaciers"", ""piedra de sol"", ""purple hyacinth"", ""amaranth"", ""marblehead gold"", ""brush beige"", ""ryegrass"", ""black chocolate"", ""laurel canyon beige"", ""skylark song"", ""classic yellow"", ""keystone gray"", ""so shy"", ""falling snow""]"
"[""cliffside park"", ""vibrant blue"", ""disco"", ""hint of mint"", ""banana split"", ""verde tortuga"", ""bright aqua"", ""dark yellow"", ""dixie"", ""aquifer"", ""chimney"", ""haute couture"", ""pink mirage"", ""arlington green"", ""sycamore tan"", ""gauzy white"", ""coffee beans"", ""violin brown"", ""rosy"", ""misty coast""]"
